ID,1ESO_C_1EV,1ESO_C_2EV,1ESO_C_EVF,1ESO_EF_1EV,1ESO_EF_2EV,1ESO_EF_EVF,1ESO_I_1EV,1ESO_I_2EV,1ESO_I_EVF,1ESO_M_1EV,1ESO_M_2EV,1ESO_M_EVF,1ESO_MEDIA_1EV,1ESO_MEDIA_2EV,1ESO_MEDIA_EVF,2ESO_C_1EV,2ESO_C_2EV,2ESO_C_EVF,2ESO_EF_1EV,2ESO_EF_2EV,2ESO_EF_EVF,2ESO_I_1EV,2ESO_I_2EV,2ESO_I_EVF,2ESO_M_1EV,2ESO_M_2EV,2ESO_M_EVF,2ESO_MEDIA_1EV,2ESO_MEDIA_2EV,2ESO_MEDIA_EVF,1FPB_MEDIA_1EV,1FPB_MEDIA_2EV,1FPB_MEDIA_EVF,1FPB_P_1EV,1FPB_P_2EV,1FPB_P_EVF,1FPB_CA_1EV,1FPB_CA_2EV,1FPB_CA_EVF,1FPB_CS_1EV,1FPB_CS_2EV,1FPB_CS_EVF,REP_1ESO,REP_2ESO,REP_1FPB,REC_1EV,REC_2EV,REC_EVEX,PROMOCIONA
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6667,4.8333,4.3333,3.0,4.0,3.0,5.0,6.0,5.0,6.0,5.0,5.0,0,0,0,2.0,0.0,1.0,N
2,6.0,5.0,5.0,5.0,5.0,8.0,3.0,4.0,3.0,3.0,4.0,4.0,4.1,4.7,5.2,5.0,3.0,4.0,8.0,7.0,9.0,4.0,4.0,5.0,2.0,1.0,1.0,4.9,4.2,5.1,3.6667,3.6667,4.6667,4.0,3.0,3.0,6.0,7.0,6.0,5.0,5.0,5.0,0,0,1,4.0,4.0,2.0,N
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1667,5.5,5.8333,7.0,4.0,5.0,6.0,8.0,7.0,6.0,5.0,6.0,0,0,0,0.0,0.0,1.0,S
4,2.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,7.0,3.7,4.5,4.7,4.0,5.0,5.0,5.0,7.0,5.0,7.0,8.0,7.0,5.0,4.0,5.0,4.7,4.8,4.8,4.1667,4.5,5.3333,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,1,0,0,2.0,0.0,2.0,S
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,0,0,0,0.0,0.0,0.0,S
6,6.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.6667,5.1,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,2.0,4.1,3.4,3.8,4.8333,3.3333,4.3333,4.0,3.0,3.0,6.0,6.0,6.0,5.0,5.0,4.0,0,0,1,2.0,3.0,5.0,N
7,6.0,5.0,6.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,6.0,5.6,5.9,6.3,5.0,4.0,5.0,6.0,6.0,5.0,3.0,3.0,6.0,4.0,4.0,4.0,5.0,4.8,5.0,5.3333,3.8333,5.1667,5.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,6.0,0,0,0,0.0,0.0,3.0,S
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.3333,8.6667,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,0,0,0,0.0,0.0,0.0,S
9,4.0,4.0,4.0,1.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,1.7,4.1,3.7,4.0,4.0,3.0,6.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.1,3.8,3.6,2.8333,4.0,3.3333,2.0,2.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,1,0,0,2.0,1.0,2.0,N
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.5,6.6667,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,0,0,0,0.0,0.0,0.0,S
11,5.0,5.0,6.0,3.0,3.0,3.0,5.0,4.0,4.0,6.0,7.0,6.0,4.4,4.5,4.8,5.0,2.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.9,4.5,5.0,6.5,5.6667,5.0,8.0,6.0,6.0,7.0,7.0,6.0,5.0,4.0,3.0,0,1,0,1.0,0.0,1.0,S
