ID,A_FECHA_NAC,A_PAIS_MALI,A_PAIS_ESPAÑA,A_PAIS_COLOMBIA,A_PAIS_MARRUECOS,A_PAIS_ECUADOR,A_PAIS_CHINA,A_PAIS_RUMANIA,A_IDIOMA_NVL,P_PAIS_OTRO_NO_EU,P_PAIS_ESPAÑA,P_PAIS_OTRO_EU,M_PAIS_OTRO_NO_EU,M_PAIS_ESPAÑA,M_PAIS_OTRO_EU,P_EDAD_50_59,P_EDAD_40_49,P_EDAD_60+,P_EDAD_30_39,M_EDAD_40_49,M_EDAD_30_39,M_EDAD_50_59,P_TRABAJO_AGRICULTURA,P_TRABAJO_SERVICIOS,P_TRABAJO_TRANSPORTE,P_TRABAJO_DESCONOCIDO,P_TRABAJO_NO_TRABAJA,P_TRABAJO_INDUSTRIA,M_TRABAJO_SERVICIOS,M_TRABAJO_NO_TRABAJA,M_TRABAJO_INDUSTRIA,M_TRABAJO_AGRICULTURA,M_TRABAJO_DESCONOCIDO,M_TRABAJO_TRANSPORTE,M_TRABAJO_AUTÓNOMA ,P_ESTUDIOS,M_ESTUDIOS,VEHICULOS_FAMILIA,A_HERMANOS,A_RESIDENCIA_AMBOS,A_RESIDENCIA_MADRE,A_RESIDENCIA_ALTERNA,FAMILIARES_RESIDENCIA,1ESO_C_1EV,1ESO_C_2EV,1ESO_C_EVF,1ESO_EF_1EV,1ESO_EF_2EV,1ESO_EF_EVF,1ESO_I_1EV,1ESO_I_2EV,1ESO_I_EVF,1ESO_M_1EV,1ESO_M_2EV,1ESO_M_EVF,1ESO_MEDIA_1EV,1ESO_MEDIA_2EV,1ESO_MEDIA_EVF,2ESO_C_1EV,2ESO_C_2EV,2ESO_C_EVF,2ESO_EF_1EV,2ESO_EF_2EV,2ESO_EF_EVF,2ESO_I_1EV,2ESO_I_2EV,2ESO_I_EVF,2ESO_M_1EV,2ESO_M_2EV,2ESO_M_EVF,2ESO_MEDIA_1EV,2ESO_MEDIA_2EV,2ESO_MEDIA_EVF,1FPB_MEDIA_1EV,1FPB_MEDIA_2EV,1FPB_MEDIA_EVF,1FPB_P_1EV,1FPB_P_2EV,1FPB_P_EVF,1FPB_CA_1EV,1FPB_CA_2EV,1FPB_CA_EVF,1FPB_CS_1EV,1FPB_CS_2EV,1FPB_CS_EVF,REP_1ESO,REP_2ESO,REP_1FPB,REC_1EV,REC_2EV,REC_EVEX,PROMOCIONA
1,2006,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,2,1,0,0,4,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.16130218514719263,0.4473655124500657,0.18749765627929657,3.0,4.0,3.0,5.0,6.0,5.0,6.0,5.0,5.0,0,0,0,2.0,0.0,1.0,0
2,2007,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,1,0,0,4,6,5,5,5,5,8,3,4,3,3,4,4,0.5,0.6666666666666667,0.5,5,3,4,8,7,9,4,4,5,2,1,1,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.16130218514719263,0.2631645429712789,0.2500093748828139,4.0,3.0,3.0,6.0,7.0,6.0,5.0,5.0,5.0,0,0,1,4.0,4.0,2.0,0
3,2008,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,0,1,0,1,0,3,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.6451700311610892,0.5526344875499346,0.46874414069824133,7.0,4.0,5.0,6.0,8.0,7.0,6.0,5.0,6.0,0,0,0,0.0,0.0,1.0,1
4,2007,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,6,2,2,1,0,0,5,2,3,4,3,5,4,5,5,5,4,7,7,0.5,0.33333333333333337,0.5,4,5,5,5,7,5,7,8,7,5,4,5,0.7499999999999999,0.6666666666666666,0.6666666666666666,0.2580757543499719,0.3947389196785247,0.3749953125585931,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,1,0,0,2.0,0.0,2.0,1
5,2008,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,3,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.7096792923916619,0.7894778393570494,0.6874976562792965,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,0,0,0,0.0,0.0,0.0,1
6,2007,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,6,1,5,1,0,0,6,6,5,5,3,4,5,4,5,5,5,5,4,0.75,0.6666666666666667,0.5,5,3,2,5,5,5,5,3,3,3,1,2,0.4999999999999999,0.0,0.33333333333333326,0.3870942768111174,0.21052216064295082,0.18749765627929657,4.0,3.0,3.0,6.0,6.0,6.0,5.0,5.0,4.0,0,0,1,2.0,3.0,5.0,0
7,2007,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1,0,0,5,6,5,6,7,6,7,5,5,5,6,5,6,1.0,1.0,1.0,5,4,5,6,6,5,3,3,6,4,4,4,0.7499999999999999,0.6666666666666666,0.6666666666666666,0.48386784601389676,0.28946994457865577,0.3437582030224621,5.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,6.0,0,0,0,0.0,0.0,3.0,1
8,2007,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,1,2,1,0,0,5,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,0,0,0,0.0,0.0,0.0,1
9,2007,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,7,2,5,1,0,0,4,4,4,4,1,5,4,3,3,3,1,3,5,0.0,0.33333333333333337,0.0,4,4,3,6,5,5,3,5,5,4,3,3,0.4999999999999999,0.3333333333333333,0.33333333333333326,0.0,0.3157911357428198,0.0,2.0,2.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,1,0,0,2.0,1.0,2.0,0
10,2007,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,4,1,0,0,5,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.6129057231888826,0.7105300554213445,0.6250046874414068,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,0,0,0,0.0,0.0,0.0,1
